#Event n.0
104563 1.97479
104564 1.97479
104565 1.97479
104566 3.94958
104575 1.97479
104576 5.92437
104577 1.97479
104578 2.86555
104579 5.91597
104580 5.91597
104581 2.86555
104582 5.91597
104583 3.05042
104584 5.91597
104585 1.97479
104586 1.97479
104587 3.05042
104588 3.05042
104589 5.91597
104590 5.91597
104591 5.91597
104592 5.91597
104593 5.91597
104594 5.91597
104595 5.91597
104596 5.91597
104597 5.91597
104598 5.91597
104599 5.91597
104601 1.97479
104604 1.97479
104605 1.97479
104606 3.94958
104614 5.92437
104615 5.92437
104616 7.89916
104620 3.94958
104621 3.94958
104622 3.94958
104626 3.05042
104627 3.05042
104628 3.05042
104629 3.05042
104630 3.05042
104631 3.05042
104632 3.05042
104633 7.89076
104634 7.89076
104635 5.91597
104636 5.92437
104637 3.94958
104638 3.94958
104639 7
104640 3.94958
104641 5.91597
104642 3.05042
104643 3.05042
104644 3.05042
104645 3.05042
104646 3.05042
104649 3.05042
104650 3.05042
104651 3.05042
104652 3.05042
104653 3.05042
104654 5.91597
104655 3.05042
104656 3.05042
104657 1.97479
104658 3.05042
104659 1.97479
104660 1.97479
104661 1.97479
104662 7.89076
104663 3.94958
104664 5.92437
104665 5.92437
104666 5.92437
104667 7.89076
104668 3.05042
104669 1.97479
104670 5.91597
104748 3.94958
104749 1.97479
104750 7.89076
104751 1.97479
104752 3.94958
104755 3.05042
104756 5.91597
104758 3.05042
104759 3.05042
104760 3.05042
104761 5.91597
104765 5.91597
104766 5.91597
104767 1.97479
104771 1.97479
104772 7.89076
104773 5.91597
104834 3.05042
104835 5.91597
104837 3.05042
104838 3.05042
104839 5.91597
104877 5.91597
104880 5.91597
104881 2.86555
104892 2.86555
104894 5.91597
104895 5.91597
104896 5.91597
104902 5.91597
105046 5.91597
105049 2.86555
105053 5.92437
105057 2.86555
105063 4.84034
105083 3.94958
105094 5.92437
105096 2.86555
105099 3.94958
105113 5.91597
105136 7.89076
105137 1.97479
105195 6.81513
105198 2.86555
105199 1.97479
105200 5.92437
105204 1.97479
105205 3.94958
105239 1.97479
105240 3.94958
105241 2.86555
105242 1.97479
105244 1.97479
105245 3.94958
105246 1.97479
105247 5.91597
105248 3.94958
105250 1.97479
105252 1.97479
105257 5.92437
105263 2.86555
105264 2.86555
105268 2.86555
105269 2.86555
105270 2.86555
105271 1.97479
105296 5.91597
105311 3.05042
105312 5.91597
105316 5.91597
105330 2.86555
105332 5.91597
105401 1.97479
105410 1.97479
105412 6.81513
105413 5.91597
105414 6.81513
105417 4.84034
105418 1.97479
105620 3.94958
105621 1.97479
105637 2.86555
105638 9.86555
105641 2.86555
105642 6.81513
105643 3.94958
105651 3.94958
105652 3.94958
105653 3.94958
105654 2.86555
105655 2.86555
105656 4.84034
105657 3.94958
105658 3.94958
105659 5.92437
105660 2.86555
105675 3.94958
105676 5.92437
105677 1.97479
105700 1.97479
105701 1.97479
105702 1.97479
105704 1.97479
105705 1.97479
105706 3.94958
105707 1.97479
105811 2.86555
105812 2.86555
105813 2.86555
105814 1.97479
105815 3.94958
105816 1.97479
105817 2.86555
105818 5.91597
105819 2.86555
105820 5.92437
105821 1.97479
105822 5.92437
105828 1.97479
105829 5.91597
105830 5.91597
105831 5.91597
105832 1.97479
105834 1.97479
105835 5.91597
105836 3.05042
105837 5.91597
105838 3.94958
105839 3.94958
105840 1.97479
105841 1.97479
