#col	row	gain	offset
12	1	3016.98	0
12	2	3360.53	0
12	3	-1	-1
12	4	3061.3	0
12	5	3090.83	0
12	6	3042.1	0
12	7	3029	0
12	8	3062.56	0
12	9	2977.99	0
12	10	2994.44	0
12	11	2903.95	0
12	12	3009.42	0
12	13	3080.42	0
12	14	3066.41	0
12	15	2984.17	0
12	16	3011.28	0
12	17	3086.65	0
12	18	2964.2	0
12	19	3048.17	0
12	20	3124.32	0
12	21	3079.02	0
12	22	2974.52	0
12	23	3031.59	0
12	24	2959.13	0
12	25	3079.3	0
12	26	2987.99	0
12	27	2949.42	0
12	28	2996.54	0
12	29	3008.81	0
12	30	2972.84	0
12	31	2965.89	0
13	0	2993.78	0
13	1	3294.1	0
13	2	2999.17	0
13	3	3340.03	0
13	4	3029.77	0
13	5	3040.23	0
13	6	3010.12	0
13	7	3118.43	0
13	8	-1	-1
13	9	3110.81	0
13	10	2887.59	0
13	11	3031.26	0
13	12	2995.88	0
13	13	3044.5	0
13	14	3145.83	0
13	15	3133.61	0
13	16	3040.25	0
13	17	3014.61	0
13	18	3004.29	0
13	19	3105.64	0
13	20	3015.29	0
13	21	3134.52	0
13	22	2960.02	0
13	23	2973.86	0
13	24	2990.61	0
13	25	3044.5	0
13	26	3057.23	0
13	27	3018.01	0
13	28	2982.55	0
13	29	3021.63	0
13	30	3038.71	0
13	31	3056.55	0
14	0	2982.79	0
14	1	3025.14	0
14	2	3084.69	0
14	3	2899.98	0
14	4	3019.59	0
14	5	3030.38	0
14	6	2994.9	0
14	7	3005.72	0
14	8	3082.14	0
14	9	2910.09	0
14	10	3047.96	0
14	11	3017.43	0
14	12	3003.58	0
14	13	3044.83	0
14	14	3220.93	0
14	15	-1	-1
14	16	3007.71	0
14	17	2999.69	0
14	18	2963.2	0
14	19	3098.58	0
14	20	3074.09	0
14	21	2990.48	0
14	22	2941.06	0
14	23	3032.96	0
14	24	2969.52	0
14	25	2961.63	0
14	26	2996.76	0
14	27	3022.58	0
14	28	3005.13	0
14	29	3077.24	0
14	30	2980.16	0
14	31	2995.76	0
15	0	2965.14	0
15	1	3062.97	0
15	2	3005.11	0
15	3	3067.98	0
15	4	2974.57	0
15	5	2969.07	0
15	6	3089.87	0
15	7	3095.33	0
15	8	3014.18	0
15	9	3055.41	0
15	10	3035.3	0
