#chan	aget	asad	cobo	row	col	detector	psa pad
42	0	1	0	24	2	0	line
43	0	1	0	27	1	0	line
44	0	1	0	23	12	0	line
45	0	1	0	-1	-1	0	none
46	0	1	0	22	7	0	line
47	0	1	0	23	3	0	line
48	0	1	0	26	0	0	line
49	0	1	0	24	11	0	line
50	0	1	0	23	6	0	line
51	0	1	0	27	15	0	line
52	0	1	0	22	4	0	line
53	0	1	0	22	9	0	line
54	0	1	0	23	8	0	line
55	0	1	0	24	6	0	line
56	0	1	0	-1	-1	0	none
57	0	1	0	26	14	0	line
58	0	1	0	22	3	0	line
59	0	1	0	24	7	0	line
60	0	1	0	23	7	0	line
61	0	1	0	25	13	0	line
62	0	1	0	24	1	0	line
63	0	1	0	22	5	0	line
64	0	1	0	24	10	0	line
65	0	1	0	27	11	0	line
66	0	1	0	22	8	0	line
67	0	1	0	23	2	0	line
0	1	1	0	24	19	0	line
1	1	1	0	25	25	0	line
2	1	1	0	22	30	0	line
3	1	1	0	23	20	0	line
4	1	1	0	23	27	0	line
5	1	1	0	26	26	0	line
6	1	1	0	23	29	0	line
7	1	1	0	22	17	0	line
8	1	1	0	22	28	0	line
9	1	1	0	27	23	0	line
10	1	1	0	24	28	0	line
11	1	1	0	-1	-1	0	none
12	1	1	0	23	16	0	line
13	1	1	0	24	30	0	line
14	1	1	0	26	22	0	line
15	1	1	0	22	31	0	line
16	1	1	0	22	26	0	line
17	1	1	0	25	21	0	line
18	1	1	0	23	31	0	line
19	1	1	0	24	21	0	line
20	1	1	0	23	25	0	line
21	1	1	0	24	16	0	line
22	1	1	0	-1	-1	0	none
23	1	1	0	27	19	0	line
24	1	1	0	23	30	0	line
25	1	1	0	24	24	0	line
26	1	1	0	23	17	0	line
27	1	1	0	26	18	0	line
28	1	1	0	24	29	0	line
29	1	1	0	22	22	0	line
30	1	1	0	22	18	0	line
31	1	1	0	24	20	0	line
32	1	1	0	23	21	0	line
33	1	1	0	22	27	0	line
34	1	1	0	25	17	0	line
35	1	1	0	22	16	0	line
36	1	1	0	22	29	0	line
37	1	1	0	23	26	0	line
38	1	1	0	26	20	0	line
39	1	1	0	25	19	0	line
40	1	1	0	24	31	0	line
41	1	1	0	24	25	0	line
42	1	1	0	24	18	0	line
43	1	1	0	27	17	0	line
44	1	1	0	23	28	0	line
45	1	1	0	-1	-1	0	none
46	1	1	0	22	23	0	line
47	1	1	0	23	19	0	line
48	1	1	0	26	16	0	line
49	1	1	0	24	27	0	line
50	1	1	0	23	22	0	line
51	1	1	0	27	31	0	line
52	1	1	0	22	20	0	line
53	1	1	0	22	25	0	line
54	1	1	0	23	24	0	line
55	1	1	0	24	22	0	line
56	1	1	0	-1	-1	0	none
57	1	1	0	26	30	0	line
58	1	1	0	22	19	0	line
59	1	1	0	24	23	0	line
60	1	1	0	23	23	0	line
61	1	1	0	25	29	0	line
62	1	1	0	24	17	0	line
63	1	1	0	22	21	0	line
64	1	1	0	24	26	0	line
65	1	1	0	27	27	0	line
66	1	1	0	22	24	0	line
67	1	1	0	23	18	0	line
0	2	1	0	22	40	0	line
1	2	1	0	27	34	0	line
2	2	1	0	27	43	0	line
3	2	1	0	24	42	0	line
4	2	1	0	25	47	0	line
5	2	1	0	25	36	0	line
6	2	1	0	25	45	0	line
7	2	1	0	23	39	0	line
8	2	1	0	27	45	0	line
9	2	1	0	26	33	0	line
10	2	1	0	26	46	0	line
11	2	1	0	-1	-1	0	none
12	2	1	0	24	38	0	line
13	2	1	0	26	44	0	line
14	2	1	0	25	32	0	line
15	2	1	0	22	36	0	line
16	2	1	0	27	47	0	line
17	2	1	0	26	47	0	line
18	2	1	0	25	43	0	line
19	2	1	0	26	38	0	line
20	2	1	0	26	32	0	line
21	2	1	0	27	41	0	line
22	2	1	0	-1	-1	0	none
23	2	1	0	25	46	0	line
24	2	1	0	23	35	0	line
25	2	1	0	27	33	0	line
26	2	1	0	26	40	0	line
27	2	1	0	27	44	0	line
28	2	1	0	24	34	0	line
29	2	1	0	25	35	0	line
30	2	1	0	25	39	0	line
31	2	1	0	27	37	0	line
32	2	1	0	26	36	0	line
33	2	1	0	22	32	0	line
34	2	1	0	26	43	0	line
35	2	1	0	25	42	0	line
36	2	1	0	22	34	0	line
37	2	1	0	25	33	0	line
38	2	1	0	27	46	0	line
39	2	1	0	26	45	0	line
40	2	1	0	24	36	0	line
41	2	1	0	26	34	0	line
42	2	1	0	27	40	0	line
43	2	1	0	25	44	0	line
44	2	1	0	23	33	0	line
45	2	1	0	-1	-1	0	none
46	2	1	0	27	35	0	line
47	2	1	0	26	39	0	line
48	2	1	0	27	42	0	line
49	2	1	0	24	32	0	line
50	2	1	0	25	37	0	line
51	2	1	0	26	41	0	line
52	2	1	0	25	38	0	line
53	2	1	0	23	47	0	line
54	2	1	0	24	46	0	line
55	2	1	0	27	36	0	line
56	2	1	0	-1	-1	0	none
57	2	1	0	25	40	0	line
58	2	1	0	27	39	0	line
59	2	1	0	22	44	0	line
60	2	1	0	26	35	0	line
61	2	1	0	27	38	0	line
62	2	1	0	26	42	0	line
63	2	1	0	23	43	0	line
64	2	1	0	27	32	0	line
65	2	1	0	26	37	0	line
66	2	1	0	25	34	0	line
67	2	1	0	25	41	0	line
0	3	1	0	24	51	0	line
1	3	1	0	25	57	0	line
2	3	1	0	22	62	0	line
3	3	1	0	23	52	0	line
4	3	1	0	23	59	0	line
5	3	1	0	26	58	0	line
6	3	1	0	23	61	0	line
7	3	1	0	22	49	0	line
8	3	1	0	22	60	0	line
9	3	1	0	27	55	0	line
10	3	1	0	24	60	0	line
11	3	1	0	-1	-1	0	none
12	3	1	0	23	48	0	line
13	3	1	0	24	62	0	line
14	3	1	0	26	54	0	line
15	3	1	0	22	63	0	line
16	3	1	0	22	58	0	line
17	3	1	0	25	53	0	line
18	3	1	0	23	63	0	line
19	3	1	0	24	53	0	line
20	3	1	0	23	57	0	line
21	3	1	0	24	48	0	line
22	3	1	0	-1	-1	0	none
23	3	1	0	27	51	0	line
24	3	1	0	23	62	0	line
25	3	1	0	24	56	0	line
26	3	1	0	23	49	0	line
27	3	1	0	26	50	0	line
28	3	1	0	24	61	0	line
29	3	1	0	22	54	0	line
30	3	1	0	22	50	0	line
31	3	1	0	24	52	0	line
32	3	1	0	23	53	0	line
33	3	1	0	22	59	0	line
34	3	1	0	25	49	0	line
35	3	1	0	22	48	0	line
36	3	1	0	22	61	0	line
37	3	1	0	23	58	0	line
38	3	1	0	26	52	0	line
39	3	1	0	25	51	0	line
40	3	1	0	24	63	0	line
41	3	1	0	24	57	0	line
42	3	1	0	24	50	0	line
43	3	1	0	27	49	0	line
44	3	1	0	23	60	0	line
45	3	1	0	-1	-1	0	none
46	3	1	0	22	55	0	line
47	3	1	0	23	51	0	line
48	3	1	0	26	48	0	line
49	3	1	0	24	59	0	line
50	3	1	0	23	54	0	line
51	3	1	0	27	63	0	line
52	3	1	0	22	52	0	line
53	3	1	0	22	57	0	line
54	3	1	0	23	56	0	line
55	3	1	0	24	54	0	line
56	3	1	0	-1	-1	0	none
57	3	1	0	26	62	0	line
58	3	1	0	22	51	0	line
59	3	1	0	24	55	0	line
60	3	1	0	23	55	0	line
61	3	1	0	25	61	0	line
62	3	1	0	24	49	0	line
63	3	1	0	22	53	0	line
64	3	1	0	24	58	0	line
65	3	1	0	27	59	0	line
66	3	1	0	22	56	0	line
67	3	1	0	23	50	0	line
0	0	3	0	16	8	0	line
1	0	3	0	21	2	0	line
2	0	3	0	21	11	0	line
3	0	3	0	18	10	0	line
4	0	3	0	19	15	0	line
5	0	3	0	19	4	0	line
6	0	3	0	19	13	0	line
7	0	3	0	17	7	0	line
8	0	3	0	21	13	0	line
9	0	3	0	20	1	0	line
10	0	3	0	20	14	0	line
11	0	3	0	-1	-1	0	none
12	0	3	0	18	6	0	line
13	0	3	0	20	12	0	line
14	0	3	0	19	0	0	line
15	0	3	0	16	4	0	line
16	0	3	0	21	15	0	line
17	0	3	0	20	15	0	line
18	0	3	0	19	11	0	line
19	0	3	0	20	6	0	line
20	0	3	0	20	0	0	line
21	0	3	0	21	9	0	line
22	0	3	0	-1	-1	0	none
23	0	3	0	19	14	0	line
24	0	3	0	17	3	0	line
25	0	3	0	21	1	0	line
26	0	3	0	20	8	0	line
27	0	3	0	21	12	0	line
28	0	3	0	18	2	0	line
29	0	3	0	19	3	0	line
30	0	3	0	19	7	0	line
31	0	3	0	21	5	0	line
32	0	3	0	20	4	0	line
33	0	3	0	16	0	0	line
34	0	3	0	20	11	0	line
35	0	3	0	19	10	0	line
36	0	3	0	16	2	0	line
37	0	3	0	19	1	0	line
38	0	3	0	21	14	0	line
39	0	3	0	20	13	0	line
40	0	3	0	18	4	0	line
41	0	3	0	20	2	0	line
42	0	3	0	21	8	0	line
43	0	3	0	19	12	0	line
44	0	3	0	17	1	0	line
45	0	3	0	-1	-1	0	none
46	0	3	0	21	3	0	line
47	0	3	0	20	7	0	line
48	0	3	0	21	10	0	line
49	0	3	0	18	0	0	line
50	0	3	0	19	5	0	line
51	0	3	0	20	9	0	line
52	0	3	0	19	6	0	line
53	0	3	0	17	15	0	line
54	0	3	0	18	14	0	line
55	0	3	0	21	4	0	line
56	0	3	0	-1	-1	0	none
57	0	3	0	19	8	0	line
58	0	3	0	21	7	0	line
59	0	3	0	16	12	0	line
60	0	3	0	20	3	0	line
61	0	3	0	21	6	0	line
62	0	3	0	20	10	0	line
63	0	3	0	17	11	0	line
64	0	3	0	21	0	0	line
65	0	3	0	20	5	0	line
66	0	3	0	19	2	0	line
67	0	3	0	19	9	0	line
0	1	3	0	16	24	0	line
1	1	3	0	21	18	0	line
2	1	3	0	21	27	0	line
3	1	3	0	18	26	0	line
4	1	3	0	19	31	0	line
5	1	3	0	19	20	0	line
6	1	3	0	19	29	0	line
7	1	3	0	17	23	0	line
8	1	3	0	21	29	0	line
9	1	3	0	20	17	0	line
10	1	3	0	20	30	0	line
11	1	3	0	-1	-1	0	none
12	1	3	0	18	22	0	line
13	1	3	0	20	28	0	line
14	1	3	0	19	16	0	line
15	1	3	0	16	20	0	line
16	1	3	0	21	31	0	line
17	1	3	0	20	31	0	line
18	1	3	0	19	27	0	line
19	1	3	0	20	22	0	line
20	1	3	0	20	16	0	line
21	1	3	0	21	25	0	line
22	1	3	0	-1	-1	0	none
23	1	3	0	19	30	0	line
24	1	3	0	17	19	0	line
25	1	3	0	21	17	0	line
26	1	3	0	20	24	0	line
27	1	3	0	21	28	0	line
28	1	3	0	18	18	0	line
29	1	3	0	19	19	0	line
30	1	3	0	19	23	0	line
31	1	3	0	21	21	0	line
32	1	3	0	20	20	0	line
33	1	3	0	16	16	0	line
34	1	3	0	20	27	0	line
35	1	3	0	19	26	0	line
36	1	3	0	16	18	0	line
37	1	3	0	19	17	0	line
38	1	3	0	21	30	0	line
39	1	3	0	20	29	0	line
40	1	3	0	18	20	0	line
41	1	3	0	20	18	0	line
42	1	3	0	21	24	0	line
43	1	3	0	19	28	0	line
44	1	3	0	17	17	0	line
45	1	3	0	-1	-1	0	none
46	1	3	0	21	19	0	line
47	1	3	0	20	23	0	line
48	1	3	0	21	26	0	line
49	1	3	0	18	16	0	line
50	1	3	0	19	21	0	line
51	1	3	0	20	25	0	line
52	1	3	0	19	22	0	line
53	1	3	0	17	31	0	line
54	1	3	0	18	30	0	line
55	1	3	0	21	20	0	line
56	1	3	0	-1	-1	0	none
57	1	3	0	19	24	0	line
58	1	3	0	21	23	0	line
59	1	3	0	16	28	0	line
60	1	3	0	20	19	0	line
61	1	3	0	21	22	0	line
62	1	3	0	20	26	0	line
63	1	3	0	17	27	0	line
64	1	3	0	21	16	0	line
65	1	3	0	20	21	0	line
66	1	3	0	19	18	0	line
67	1	3	0	19	25	0	line
0	2	3	0	18	35	0	line
1	2	3	0	19	41	0	line
2	2	3	0	16	46	0	line
3	2	3	0	17	36	0	line
4	2	3	0	17	43	0	line
5	2	3	0	20	42	0	line
6	2	3	0	17	45	0	line
7	2	3	0	16	33	0	line
8	2	3	0	16	44	0	line
9	2	3	0	21	39	0	line
10	2	3	0	18	44	0	line
11	2	3	0	-1	-1	0	none
12	2	3	0	17	32	0	line
13	2	3	0	18	46	0	line
14	2	3	0	20	38	0	line
15	2	3	0	16	47	0	line
16	2	3	0	16	42	0	line
17	2	3	0	19	37	0	line
18	2	3	0	17	47	0	line
19	2	3	0	18	37	0	line
20	2	3	0	17	41	0	line
21	2	3	0	18	32	0	line
22	2	3	0	-1	-1	0	none
23	2	3	0	21	35	0	line
24	2	3	0	17	46	0	line
25	2	3	0	18	40	0	line
26	2	3	0	17	33	0	line
27	2	3	0	20	34	0	line
28	2	3	0	18	45	0	line
29	2	3	0	16	38	0	line
30	2	3	0	16	34	0	line
31	2	3	0	18	36	0	line
32	2	3	0	17	37	0	line
33	2	3	0	16	43	0	line
34	2	3	0	19	33	0	line
35	2	3	0	16	32	0	line
36	2	3	0	16	45	0	line
37	2	3	0	17	42	0	line
38	2	3	0	20	36	0	line
39	2	3	0	19	35	0	line
40	2	3	0	18	47	0	line
41	2	3	0	18	41	0	line
42	2	3	0	18	34	0	line
43	2	3	0	21	33	0	line
44	2	3	0	17	44	0	line
45	2	3	0	-1	-1	0	none
46	2	3	0	16	39	0	line
47	2	3	0	17	35	0	line
48	2	3	0	20	32	0	line
49	2	3	0	18	43	0	line
50	2	3	0	17	38	0	line
51	2	3	0	21	47	0	line
52	2	3	0	16	36	0	line
53	2	3	0	16	41	0	line
54	2	3	0	17	40	0	line
55	2	3	0	18	38	0	line
56	2	3	0	-1	-1	0	none
57	2	3	0	20	46	0	line
58	2	3	0	16	35	0	line
59	2	3	0	18	39	0	line
60	2	3	0	17	39	0	line
61	2	3	0	19	45	0	line
62	2	3	0	18	33	0	line
63	2	3	0	16	37	0	line
64	2	3	0	18	42	0	line
65	2	3	0	21	43	0	line
66	2	3	0	16	40	0	line
67	2	3	0	17	34	0	line
0	3	3	0	16	56	0	line
1	3	3	0	21	50	0	line
2	3	3	0	21	59	0	line
3	3	3	0	18	58	0	line
4	3	3	0	19	63	0	line
5	3	3	0	19	52	0	line
6	3	3	0	19	61	0	line
7	3	3	0	17	55	0	line
8	3	3	0	21	61	0	line
9	3	3	0	20	49	0	line
10	3	3	0	20	62	0	line
11	3	3	0	-1	-1	0	none
12	3	3	0	18	54	0	line
13	3	3	0	20	60	0	line
14	3	3	0	19	48	0	line
15	3	3	0	16	52	0	line
16	3	3	0	21	63	0	line
17	3	3	0	20	63	0	line
18	3	3	0	19	59	0	line
19	3	3	0	20	54	0	line
20	3	3	0	20	48	0	line
21	3	3	0	21	57	0	line
22	3	3	0	-1	-1	0	none
23	3	3	0	19	62	0	line
24	3	3	0	17	51	0	line
25	3	3	0	21	49	0	line
26	3	3	0	20	56	0	line
27	3	3	0	21	60	0	line
28	3	3	0	18	50	0	line
29	3	3	0	19	51	0	line
30	3	3	0	19	55	0	line
31	3	3	0	21	53	0	line
32	3	3	0	20	52	0	line
33	3	3	0	16	48	0	line
34	3	3	0	20	59	0	line
35	3	3	0	19	58	0	line
36	3	3	0	16	50	0	line
37	3	3	0	19	49	0	line
38	3	3	0	21	62	0	line
39	3	3	0	20	61	0	line
40	3	3	0	18	52	0	line
41	3	3	0	20	50	0	line
42	3	3	0	21	56	0	line
43	3	3	0	19	60	0	line
44	3	3	0	17	49	0	line
45	3	3	0	-1	-1	0	none
46	3	3	0	21	51	0	line
47	3	3	0	20	55	0	line
48	3	3	0	21	58	0	line
49	3	3	0	18	48	0	line
50	3	3	0	19	53	0	line
51	3	3	0	20	57	0	line
52	3	3	0	19	54	0	line
53	3	3	0	17	63	0	line
54	3	3	0	18	62	0	line
55	3	3	0	21	52	0	line
56	3	3	0	-1	-1	0	none
57	3	3	0	19	56	0	line
58	3	3	0	21	55	0	line
59	3	3	0	16	60	0	line
60	3	3	0	20	51	0	line
61	3	3	0	21	54	0	line
62	3	3	0	20	58	0	line
63	3	3	0	17	59	0	line
64	3	3	0	21	48	0	line
65	3	3	0	20	53	0	line
66	3	3	0	19	50	0	line
67	3	3	0	19	57	0	line
0	0	2	0	25	2	0	line
1	0	2	0	17	2	0	line
2	0	2	0	26	5	0	line
3	0	2	0	27	0	0	line
4	0	2	0	16	5	0	line
5	0	2	0	18	1	0	line
6	0	2	0	27	6	0	line
7	0	2	0	26	3	0	line
8	0	2	0	18	7	0	line
9	0	2	0	16	3	0	line
10	0	2	0	25	8	0	line
11	0	2	0	-1	-1	0	none
12	0	2	0	27	4	0	line
13	0	2	0	17	8	0	line
14	0	2	0	18	5	0	line
15	0	2	0	25	6	0	line
16	0	2	0	26	9	0	line
17	0	2	0	17	6	0	line
18	0	2	0	16	9	0	line
19	0	2	0	25	0	0	line
20	0	2	0	27	10	0	line
21	0	2	0	18	11	0	line
22	0	2	0	-1	-1	0	none
23	0	2	0	16	7	0	line
24	0	2	0	26	7	0	line
25	0	2	0	25	12	0	line
26	0	2	0	17	12	0	line
27	0	2	0	18	9	0	line
28	0	2	0	27	8	0	line
29	0	2	0	26	13	0	line
30	0	2	0	16	13	0	line
31	0	2	0	18	15	0	line
32	0	2	0	27	14	0	line
33	0	2	0	25	10	0	line
34	0	2	0	17	10	0	line
35	0	2	0	16	11	0	line
36	0	2	0	25	7	0	line
37	0	2	0	26	11	0	line
38	0	2	0	17	5	0	line
39	0	2	0	16	6	0	line
40	0	2	0	27	5	0	line
41	0	2	0	27	12	0	line
42	0	2	0	18	13	0	line
43	0	2	0	18	8	0	line
44	0	2	0	26	8	0	line
45	0	2	0	-1	-1	0	none
46	0	2	0	25	14	0	line
